Transaction,Item,date_time,period_day,weekday_weekend,producto
43,Fudge,30-10-2016 12:00,afternoon,weekend,Fudge (dulce de azucar)
44,Coffee,30-10-2016 12:05,afternoon,weekend,Cafe
44,Medialuna,30-10-2016 12:05,afternoon,weekend,Medialuna
45,Coffee,30-10-2016 12:08,afternoon,weekend,Cafe
45,Hot chocolate,30-10-2016 12:08,afternoon,weekend,Chocolate caliente
45,Medialuna,30-10-2016 12:08,afternoon,weekend,Medialuna
46,Coffee,30-10-2016 12:09,afternoon,weekend,Cafe
47,Ella's Kitchen Pouches,30-10-2016 12:15,afternoon,weekend,Pouches Ella's Kitchen
47,Juice,30-10-2016 12:15,afternoon,weekend,Jugo
47,Bread,30-10-2016 12:15,afternoon,weekend,Pan
47,Muffin,30-10-2016 12:15,afternoon,weekend,Muffin
47,Jam,30-10-2016 12:15,afternoon,weekend,Mermelada
48,Coffee,30-10-2016 12:17,afternoon,weekend,Cafe
49,Coffee,30-10-2016 12:23,afternoon,weekend,Cafe
49,Coffee,30-10-2016 12:23,afternoon,weekend,Cafe
49,Medialuna,30-10-2016 12:23,afternoon,weekend,Medialuna
50,Bread,30-10-2016 12:25,afternoon,weekend,Pan
50,Victorian Sponge,30-10-2016 12:25,afternoon,weekend,Bizcocho Victoria
51,Bread,30-10-2016 12:26,afternoon,weekend,Pan
52,Scandinavian,30-10-2016 12:28,afternoon,weekend,Pan escandinavo
54,Bread,30-10-2016 12:33,afternoon,weekend,Pan
55,Frittata,30-10-2016 12:38,afternoon,weekend,Frittata
55,Coffee,30-10-2016 12:38,afternoon,weekend,Cafe
55,Tea,30-10-2016 12:38,afternoon,weekend,Te
55,Hearty & Seasonal,30-10-2016 12:38,afternoon,weekend,Casero y de temporada
56,Coffee,30-10-2016 12:39,afternoon,weekend,Cafe
56,Frittata,30-10-2016 12:39,afternoon,weekend,Frittata
57,Scandinavian,30-10-2016 12:45,afternoon,weekend,Pan escandinavo
58,Victorian Sponge,30-10-2016 12:59,afternoon,weekend,Bizcocho Victoria
58,Hot chocolate,30-10-2016 12:59,afternoon,weekend,Chocolate caliente
58,Tea,30-10-2016 12:59,afternoon,weekend,Te
58,Soup,30-10-2016 12:59,afternoon,weekend,Sopa
59,Tea,30-10-2016 13:02,afternoon,weekend,Te
60,Cookies,30-10-2016 13:14,afternoon,weekend,Galletas
60,Coffee,30-10-2016 13:14,afternoon,weekend,Cafe
60,Juice,30-10-2016 13:14,afternoon,weekend,Jugo
60,Coffee,30-10-2016 13:14,afternoon,weekend,Cafe
61,Coffee,30-10-2016 13:15,afternoon,weekend,Cafe
62,Pick and Mix Bowls,30-10-2016 13:24,afternoon,weekend,Bowls para elegir y mezclar
62,Hearty & Seasonal,30-10-2016 13:24,afternoon,weekend,Casero y de temporada
62,Hearty & Seasonal,30-10-2016 13:24,afternoon,weekend,Casero y de temporada
62,Coffee,30-10-2016 13:24,afternoon,weekend,Cafe
62,Smoothies,30-10-2016 13:24,afternoon,weekend,Smoothies
62,Coffee,30-10-2016 13:24,afternoon,weekend,Cafe
63,Coffee,30-10-2016 13:33,afternoon,weekend,Cafe
64,Cake,30-10-2016 13:34,afternoon,weekend,Pastel
65,Tartine,30-10-2016 13:37,afternoon,weekend,Tostada tartine
65,Mighty Protein,30-10-2016 13:37,afternoon,weekend,Proteina Mighty
65,Tea,30-10-2016 13:37,afternoon,weekend,Te
65,Coffee,30-10-2016 13:37,afternoon,weekend,Cafe
66,Hearty & Seasonal,30-10-2016 13:40,afternoon,weekend,Casero y de temporada
66,Frittata,30-10-2016 13:40,afternoon,weekend,Frittata
66,Mineral water,30-10-2016 13:40,afternoon,weekend,Agua mineral
67,Hearty & Seasonal,30-10-2016 13:46,afternoon,weekend,Casero y de temporada
67,Mineral water,30-10-2016 13:46,afternoon,weekend,Agua mineral
67,Muffin,30-10-2016 13:46,afternoon,weekend,Muffin
68,Frittata,30-10-2016 13:49,afternoon,weekend,Frittata
68,Coffee,30-10-2016 13:49,afternoon,weekend,Cafe
68,Tea,30-10-2016 13:49,afternoon,weekend,Te
68,Scandinavian,30-10-2016 13:49,afternoon,weekend,Pan escandinavo
68,Chicken sand,30-10-2016 13:49,afternoon,weekend,Sandwich de pollo
69,Bread,30-10-2016 13:51,afternoon,weekend,Pan
69,Tea,30-10-2016 13:51,afternoon,weekend,Te
69,Victorian Sponge,30-10-2016 13:51,afternoon,weekend,Bizcocho Victoria
70,Fudge,30-10-2016 13:54,afternoon,weekend,Fudge (dulce de azucar)
71,Muffin,30-10-2016 13:56,afternoon,weekend,Muffin
72,Coffee,30-10-2016 14:21,afternoon,weekend,Cafe
72,Bread,30-10-2016 14:21,afternoon,weekend,Pan
73,Bread,30-10-2016 14:22,afternoon,weekend,Pan
74,Coffee,30-10-2016 14:24,afternoon,weekend,Cafe
74,Bread,30-10-2016 14:24,afternoon,weekend,Pan
75,Jam,30-10-2016 14:32,afternoon,weekend,Mermelada
75,Frittata,30-10-2016 14:32,afternoon,weekend,Frittata
76,Coffee,30-10-2016 14:32,afternoon,weekend,Cafe
77,Scandinavian,30-10-2016 14:35,afternoon,weekend,Pan escandinavo
78,Fudge,30-10-2016 14:42,afternoon,weekend,Fudge (dulce de azucar)
79,Fudge,30-10-2016 14:45,afternoon,weekend,Fudge (dulce de azucar)
79,Tea,30-10-2016 14:45,afternoon,weekend,Te
79,Coffee,30-10-2016 14:45,afternoon,weekend,Cafe
79,Muffin,30-10-2016 14:45,afternoon,weekend,Muffin
80,Frittata,30-10-2016 14:48,afternoon,weekend,Frittata
80,Bread,30-10-2016 14:48,afternoon,weekend,Pan
80,Coffee,30-10-2016 14:48,afternoon,weekend,Cafe
81,Coffee,31-10-2016 08:28,morning,weekday,Cafe
81,Cake,31-10-2016 08:28,morning,weekday,Pastel
82,Tartine,31-10-2016 08:47,morning,weekday,Tostada tartine
82,Bread,31-10-2016 08:47,morning,weekday,Pan
83,Coffee,31-10-2016 08:57,morning,weekday,Cafe
83,Bread,31-10-2016 08:57,morning,weekday,Pan
84,Bread,31-10-2016 09:04,morning,weekday,Pan
85,Coffee,31-10-2016 09:10,morning,weekday,Cafe
85,Coffee,31-10-2016 09:10,morning,weekday,Cafe
85,Pastry,31-10-2016 09:10,morning,weekday,Pastelito
85,Medialuna,31-10-2016 09:10,morning,weekday,Medialuna
86,Juice,31-10-2016 09:11,morning,weekday,Jugo
87,Bread,31-10-2016 09:12,morning,weekday,Pan
88,Coffee,31-10-2016 09:16,morning,weekday,Cafe
88,Coffee,31-10-2016 09:16,morning,weekday,Cafe
88,Jam,31-10-2016 09:16,morning,weekday,Mermelada
89,Bread,31-10-2016 09:19,morning,weekday,Pan
90,Bread,31-10-2016 09:20,morning,weekday,Pan
90,Coffee,31-10-2016 09:20,morning,weekday,Cafe
91,Tea,31-10-2016 09:22,morning,weekday,Te
92,Coffee,31-10-2016 09:27,morning,weekday,Cafe
93,Bread,31-10-2016 09:29,morning,weekday,Pan
93,Coke,31-10-2016 09:29,morning,weekday,Coca-Cola
94,Coffee,31-10-2016 09:39,morning,weekday,Cafe
94,Coffee,31-10-2016 09:39,morning,weekday,Cafe
95,Tea,31-10-2016 09:43,morning,weekday,Te
95,Pastry,31-10-2016 09:43,morning,weekday,Pastelito
95,Farm House,31-10-2016 09:43,morning,weekday,Pan de campo
96,Pastry,31-10-2016 09:46,morning,weekday,Pastelito
96,Pastry,31-10-2016 09:46,morning,weekday,Pastelito
96,Coffee,31-10-2016 09:46,morning,weekday,Cafe
96,Juice,31-10-2016 09:46,morning,weekday,Jugo
97,Coffee,31-10-2016 09:51,morning,weekday,Cafe
97,Pastry,31-10-2016 09:51,morning,weekday,Pastelito
97,Juice,31-10-2016 09:51,morning,weekday,Jugo
98,Farm House,31-10-2016 09:52,morning,weekday,Pan de campo
99,Pastry,31-10-2016 09:56,morning,weekday,Pastelito
99,Pastry,31-10-2016 09:56,morning,weekday,Pastelito
99,Coffee,31-10-2016 09:56,morning,weekday,Cafe
99,Bread,31-10-2016 09:56,morning,weekday,Pan
100,Bread,31-10-2016 09:58,morning,weekday,Pan
101,Coffee,31-10-2016 10:04,morning,weekday,Cafe
101,Pastry,31-10-2016 10:04,morning,weekday,Pastelito
102,Farm House,31-10-2016 10:04,morning,weekday,Pan de campo
103,Bread,31-10-2016 10:07,morning,weekday,Pan
104,Coffee,31-10-2016 10:12,morning,weekday,Cafe
104,Coffee,31-10-2016 10:12,morning,weekday,Cafe
104,Medialuna,31-10-2016 10:12,morning,weekday,Medialuna
104,Muffin,31-10-2016 10:12,morning,weekday,Muffin
104,Coffee,31-10-2016 10:12,morning,weekday,Cafe
105,Coffee,31-10-2016 10:21,morning,weekday,Cafe
105,Tea,31-10-2016 10:21,morning,weekday,Te
105,Cake,31-10-2016 10:21,morning,weekday,Pastel
106,Coffee,31-10-2016 10:24,morning,weekday,Cafe
106,Coffee,31-10-2016 10:24,morning,weekday,Cafe
106,Pastry,31-10-2016 10:24,morning,weekday,Pastelito
106,Pastry,31-10-2016 10:24,morning,weekday,Pastelito
107,Coffee,31-10-2016 10:27,morning,weekday,Cafe
107,Tea,31-10-2016 10:27,morning,weekday,Te
108,Farm House,31-10-2016 10:31,morning,weekday,Pan de campo
108,Muffin,31-10-2016 10:31,morning,weekday,Muffin
109,Bread,31-10-2016 10:35,morning,weekday,Pan
109,Muffin,31-10-2016 10:35,morning,weekday,Muffin
109,Pastry,31-10-2016 10:35,morning,weekday,Pastelito
110,Pastry,31-10-2016 10:36,morning,weekday,Pastelito
111,Coffee,31-10-2016 10:38,morning,weekday,Cafe
112,Coffee,31-10-2016 10:59,morning,weekday,Cafe
113,Coffee,31-10-2016 11:02,morning,weekday,Cafe
113,Cake,31-10-2016 11:02,morning,weekday,Pastel
114,Farm House,31-10-2016 11:05,morning,weekday,Pan de campo
115,Bread,31-10-2016 11:08,morning,weekday,Pan
116,Coffee,31-10-2016 11:11,morning,weekday,Cafe
117,Cookies,31-10-2016 11:13,morning,weekday,Galletas
117,Cake,31-10-2016 11:13,morning,weekday,Pastel
117,Coffee,31-10-2016 11:13,morning,weekday,Cafe
117,My-5 Fruit Shoot,31-10-2016 11:13,morning,weekday,Bebida My-5 Fruit Shoot
118,Cookies,31-10-2016 11:18,morning,weekday,Galletas
118,Cookies,31-10-2016 11:18,morning,weekday,Galletas
118,Tea,31-10-2016 11:18,morning,weekday,Te
118,Pastry,31-10-2016 11:18,morning,weekday,Pastelito
119,Coffee,31-10-2016 11:25,morning,weekday,Cafe
119,Coffee,31-10-2016 11:25,morning,weekday,Cafe
119,Muffin,31-10-2016 11:25,morning,weekday,Muffin
120,Farm House,31-10-2016 11:29,morning,weekday,Pan de campo
121,Coffee,31-10-2016 11:30,morning,weekday,Cafe
121,Bread,31-10-2016 11:30,morning,weekday,Pan
122,Cookies,31-10-2016 11:37,morning,weekday,Galletas
123,Jam,31-10-2016 11:42,morning,weekday,Mermelada
123,Coffee,31-10-2016 11:42,morning,weekday,Cafe
123,Coffee,31-10-2016 11:42,morning,weekday,Cafe
123,Juice,31-10-2016 11:42,morning,weekday,Jugo
124,Coffee,31-10-2016 11:43,morning,weekday,Cafe
124,Soup,31-10-2016 11:43,morning,weekday,Sopa
125,Tea,31-10-2016 11:47,morning,weekday,Te
126,Coffee,31-10-2016 11:52,morning,weekday,Cafe
126,Jam,31-10-2016 11:52,morning,weekday,Mermelada
127,Farm House,31-10-2016 11:53,morning,weekday,Pan de campo
128,Tartine,31-10-2016 11:55,morning,weekday,Tostada tartine
128,Coffee,31-10-2016 11:55,morning,weekday,Cafe
128,Tea,31-10-2016 11:55,morning,weekday,Te
129,Coffee,31-10-2016 11:59,morning,weekday,Cafe
129,Coffee,31-10-2016 11:59,morning,weekday,Cafe
129,Cake,31-10-2016 11:59,morning,weekday,Pastel
130,Coffee,31-10-2016 12:03,afternoon,weekday,Cafe
130,Coffee,31-10-2016 12:03,afternoon,weekday,Cafe
130,Muffin,31-10-2016 12:03,afternoon,weekday,Muffin
131,Bread,31-10-2016 12:08,afternoon,weekday,Pan
131,Coffee,31-10-2016 12:08,afternoon,weekday,Cafe
132,Tea,31-10-2016 12:14,afternoon,weekday,Te
132,Juice,31-10-2016 12:14,afternoon,weekday,Jugo
132,Pick and Mix Bowls,31-10-2016 12:14,afternoon,weekday,Bowls para elegir y mezclar
132,Cookies,31-10-2016 12:14,afternoon,weekday,Galletas
133,Hearty & Seasonal,31-10-2016 12:16,afternoon,weekday,Casero y de temporada
133,Soup,31-10-2016 12:16,afternoon,weekday,Sopa
134,Hearty & Seasonal,31-10-2016 12:19,afternoon,weekday,Casero y de temporada
134,Tea,31-10-2016 12:19,afternoon,weekday,Te
134,Farm House,31-10-2016 12:19,afternoon,weekday,Pan de campo
135,Bread,31-10-2016 12:20,afternoon,weekday,Pan
136,Tea,31-10-2016 12:27,afternoon,weekday,Te
136,Soup,31-10-2016 12:27,afternoon,weekday,Sopa
137,Farm House,31-10-2016 12:37,afternoon,weekday,Pan de campo
138,Soup,31-10-2016 12:43,afternoon,weekday,Sopa
138,Hearty & Seasonal,31-10-2016 12:43,afternoon,weekday,Casero y de temporada
138,Coffee,31-10-2016 12:43,afternoon,weekday,Cafe
139,Bread,31-10-2016 12:50,afternoon,weekday,Pan
139,Muffin,31-10-2016 12:50,afternoon,weekday,Muffin
139,Hearty & Seasonal,31-10-2016 12:50,afternoon,weekday,Casero y de temporada
140,Coffee,31-10-2016 12:53,afternoon,weekday,Cafe
140,Coffee,31-10-2016 12:53,afternoon,weekday,Cafe
140,Cookies,31-10-2016 12:53,afternoon,weekday,Galletas
141,Bread,31-10-2016 12:54,afternoon,weekday,Pan
142,Tea,31-10-2016 12:56,afternoon,weekday,Te
142,Muffin,31-10-2016 12:56,afternoon,weekday,Muffin
143,Tea,31-10-2016 12:59,afternoon,weekday,Te
144,Soup,31-10-2016 13:02,afternoon,weekday,Sopa
144,Hearty & Seasonal,31-10-2016 13:02,afternoon,weekday,Casero y de temporada
145,Coffee,31-10-2016 13:05,afternoon,weekday,Cafe
145,Tea,31-10-2016 13:05,afternoon,weekday,Te
145,Focaccia,31-10-2016 13:05,afternoon,weekday,Focaccia
146,Sandwich,31-10-2016 13:08,afternoon,weekday,Sandwich
147,Tartine,31-10-2016 13:09,afternoon,weekday,Tostada tartine
147,Coffee,31-10-2016 13:09,afternoon,weekday,Cafe
148,Fudge,31-10-2016 13:21,afternoon,weekday,Fudge (dulce de azucar)
148,Coffee,31-10-2016 13:21,afternoon,weekday,Cafe
148,Coffee,31-10-2016 13:21,afternoon,weekday,Cafe
149,Coffee,31-10-2016 13:26,afternoon,weekday,Cafe
150,Bread,31-10-2016 13:31,afternoon,weekday,Pan
151,Coke,31-10-2016 13:50,afternoon,weekday,Coca-Cola
151,Soup,31-10-2016 13:50,afternoon,weekday,Sopa
152,Muffin,31-10-2016 13:51,afternoon,weekday,Muffin
153,Tea,31-10-2016 13:55,afternoon,weekday,Te
153,Coffee,31-10-2016 13:55,afternoon,weekday,Cafe
153,Cookies,31-10-2016 13:55,afternoon,weekday,Galletas
153,Muffin,31-10-2016 13:55,afternoon,weekday,Muffin
154,Mighty Protein,31-10-2016 14:00,afternoon,weekday,Proteina Mighty
154,Hearty & Seasonal,31-10-2016 14:00,afternoon,weekday,Casero y de temporada
154,Coffee,31-10-2016 14:00,afternoon,weekday,Cafe
154,Coke,31-10-2016 14:00,afternoon,weekday,Coca-Cola
155,Tea,31-10-2016 14:01,afternoon,weekday,Te
155,Muffin,31-10-2016 14:01,afternoon,weekday,Muffin
155,Sandwich,31-10-2016 14:01,afternoon,weekday,Sandwich
156,Coffee,31-10-2016 14:04,afternoon,weekday,Cafe
156,Muffin,31-10-2016 14:04,afternoon,weekday,Muffin
157,Coffee,31-10-2016 14:05,afternoon,weekday,Cafe
157,Bread,31-10-2016 14:05,afternoon,weekday,Pan
158,Coffee,31-10-2016 14:20,afternoon,weekday,Cafe
158,Muffin,31-10-2016 14:20,afternoon,weekday,Muffin
159,Bread,31-10-2016 14:22,afternoon,weekday,Pan
159,Hot chocolate,31-10-2016 14:22,afternoon,weekday,Chocolate caliente
159,Cookies,31-10-2016 14:22,afternoon,weekday,Galletas
160,Mineral water,31-10-2016 14:35,afternoon,weekday,Agua mineral
160,Muffin,31-10-2016 14:35,afternoon,weekday,Muffin
161,Tea,31-10-2016 14:42,afternoon,weekday,Te
162,Muffin,31-10-2016 14:44,afternoon,weekday,Muffin
163,Coffee,31-10-2016 14:47,afternoon,weekday,Cafe
163,Juice,31-10-2016 14:47,afternoon,weekday,Jugo
164,Coffee,31-10-2016 14:47,afternoon,weekday,Cafe
164,Muffin,31-10-2016 14:47,afternoon,weekday,Muffin
165,Tea,31-10-2016 14:48,afternoon,weekday,Te
166,Coffee,31-10-2016 14:49,afternoon,weekday,Cafe
166,Muffin,31-10-2016 14:49,afternoon,weekday,Muffin
167,Sandwich,31-10-2016 14:50,afternoon,weekday,Sandwich
167,Hearty & Seasonal,31-10-2016 14:50,afternoon,weekday,Casero y de temporada
167,Bread,31-10-2016 14:50,afternoon,weekday,Pan
167,Mineral water,31-10-2016 14:50,afternoon,weekday,Agua mineral
168,Tea,31-10-2016 14:56,afternoon,weekday,Te
168,Coffee,31-10-2016 14:56,afternoon,weekday,Cafe
169,Mineral water,31-10-2016 15:05,afternoon,weekday,Agua mineral
170,Coffee,31-10-2016 15:16,afternoon,weekday,Cafe
171,Soup,31-10-2016 15:20,afternoon,weekday,Sopa
171,Tea,31-10-2016 15:20,afternoon,weekday,Te
172,Bread,31-10-2016 17:06,evening,weekday,Pan
172,Coffee,31-10-2016 17:06,evening,weekday,Cafe
173,Bread,31-10-2016 17:08,evening,weekday,Pan
173,Muffin,31-10-2016 17:08,evening,weekday,Muffin
174,Coffee,31-10-2016 17:40,evening,weekday,Cafe
175,Bread,31-10-2016 17:49,evening,weekday,Pan
176,Cookies,31-10-2016 18:22,evening,weekday,Galletas
176,Coffee,31-10-2016 18:22,evening,weekday,Cafe
178,Coffee,01-11-2016 07:51,morning,weekday,Cafe
178,Pastry,01-11-2016 07:51,morning,weekday,Pastelito
179,Coffee,01-11-2016 08:20,morning,weekday,Cafe
179,Pastry,01-11-2016 08:20,morning,weekday,Pastelito
180,Jam,01-11-2016 08:22,morning,weekday,Mermelada
180,Tea,01-11-2016 08:22,morning,weekday,Te
181,Tea,01-11-2016 08:45,morning,weekday,Te
181,Tea,01-11-2016 08:45,morning,weekday,Te
182,Pastry,01-11-2016 09:07,morning,weekday,Pastelito
182,Pastry,01-11-2016 09:07,morning,weekday,Pastelito
182,Ella's Kitchen Pouches,01-11-2016 09:07,morning,weekday,Pouches Ella's Kitchen
183,Pastry,01-11-2016 09:09,morning,weekday,Pastelito
184,Farm House,01-11-2016 09:26,morning,weekday,Pan de campo
184,Tea,01-11-2016 09:26,morning,weekday,Te
185,Tea,01-11-2016 09:29,morning,weekday,Te
185,Victorian Sponge,01-11-2016 09:29,morning,weekday,Bizcocho Victoria
186,Tea,01-11-2016 09:43,morning,weekday,Te
186,Pastry,01-11-2016 09:43,morning,weekday,Pastelito
187,Bread,01-11-2016 10:02,morning,weekday,Pan
188,Coffee,01-11-2016 10:04,morning,weekday,Cafe
189,Bread,01-11-2016 10:29,morning,weekday,Pan
189,Coffee,01-11-2016 10:29,morning,weekday,Cafe
190,Coffee,01-11-2016 10:34,morning,weekday,Cafe
190,Pastry,01-11-2016 10:34,morning,weekday,Pastelito
190,Pastry,01-11-2016 10:34,morning,weekday,Pastelito
191,Soup,01-11-2016 10:50,morning,weekday,Sopa
191,Tea,01-11-2016 10:50,morning,weekday,Te
192,Bread,01-11-2016 10:56,morning,weekday,Pan
193,Coffee,01-11-2016 11:00,morning,weekday,Cafe
194,Bread,01-11-2016 11:04,morning,weekday,Pan
194,Bread,01-11-2016 11:04,morning,weekday,Pan
195,Bread,01-11-2016 11:06,morning,weekday,Pan
195,Scandinavian,01-11-2016 11:06,morning,weekday,Pan escandinavo
196,Bread,01-11-2016 11:08,morning,weekday,Pan
196,Cake,01-11-2016 11:08,morning,weekday,Pastel
196,Cookies,01-11-2016 11:08,morning,weekday,Galletas
197,Coffee,01-11-2016 11:10,morning,weekday,Cafe
197,Coffee,01-11-2016 11:10,morning,weekday,Cafe
197,Tea,01-11-2016 11:10,morning,weekday,Te
198,Coffee,01-11-2016 11:11,morning,weekday,Cafe
198,Cookies,01-11-2016 11:11,morning,weekday,Galletas
199,Coffee,01-11-2016 11:13,morning,weekday,Cafe
200,Bread,01-11-2016 11:16,morning,weekday,Pan
201,Coffee,01-11-2016 11:22,morning,weekday,Cafe
201,Pastry,01-11-2016 11:22,morning,weekday,Pastelito
202,Coffee,01-11-2016 11:23,morning,weekday,Cafe
202,Coffee,01-11-2016 11:23,morning,weekday,Cafe
203,Coffee,01-11-2016 11:25,morning,weekday,Cafe
204,Scandinavian,01-11-2016 11:30,morning,weekday,Pan escandinavo
204,Bread,01-11-2016 11:30,morning,weekday,Pan
205,Coffee,01-11-2016 11:49,morning,weekday,Cafe
205,Coffee,01-11-2016 11:49,morning,weekday,Cafe
205,Pastry,01-11-2016 11:49,morning,weekday,Pastelito
206,Scandinavian,01-11-2016 11:54,morning,weekday,Pan escandinavo
206,Coffee,01-11-2016 11:54,morning,weekday,Cafe
206,Pastry,01-11-2016 11:54,morning,weekday,Pastelito
207,Hearty & Seasonal,01-11-2016 12:03,afternoon,weekday,Casero y de temporada
207,Coffee,01-11-2016 12:03,afternoon,weekday,Cafe
207,Muffin,01-11-2016 12:03,afternoon,weekday,Muffin
208,Bread,01-11-2016 12:10,afternoon,weekday,Pan
209,Coffee,01-11-2016 12:10,afternoon,weekday,Cafe
210,Scandinavian,01-11-2016 12:12,afternoon,weekday,Pan escandinavo
211,Soup,01-11-2016 12:15,afternoon,weekday,Sopa
211,Coffee,01-11-2016 12:15,afternoon,weekday,Cafe
212,Coffee,01-11-2016 12:20,afternoon,weekday,Cafe
212,Cookies,01-11-2016 12:20,afternoon,weekday,Galletas
212,Tartine,01-11-2016 12:20,afternoon,weekday,Tostada tartine
213,Bread,01-11-2016 12:22,afternoon,weekday,Pan
214,Bread,01-11-2016 12:26,afternoon,weekday,Pan
214,Tea,01-11-2016 12:26,afternoon,weekday,Te
214,Tea,01-11-2016 12:26,afternoon,weekday,Te
